house_address,house_rental_area,house_orientation,house_layout,house_floor,house_rental_price,house_id,house_update_time,house_longitude,house_latitude,house_rental_method,house_tag,house_elevator,house_parking,house_water,house_electricity,house_gas,house_heating,create_time,city
鼓楼-小市-张王庙,47.00㎡,西南,2室2厅1卫,低楼层（6层）,2800 元/月,NJ1665606325918236672,2022-08-10,118.784833,32.10658,整租,/业主自荐/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:16,南京
鼓楼-湖南路-挹华里,56.00㎡,东南,2室1厅1卫,中楼层（5层）,3250 元/月,NJ1665595564793790464,2022-08-06,118.779787,32.068506,整租,//近地铁/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:20,南京
鼓楼-建宁路-滨江花园西园,63.00㎡,西南,2室1厅1卫,中楼层（7层）,2300 元/月,NJ1665646085340659712,2022-08-03,118.759142,32.102876,整租,//,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:24,南京
鼓楼-湖南路-二条巷(鼓楼),70.00㎡,南,2室1厅1卫,中楼层（6层）,5200 元/月,NJ1665693724035776512,2022-08-08,118.785381,32.066699,整租,//近地铁/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:27,南京
鼓楼-华侨路-龙蟠里,50.00㎡,南北,2室1厅1卫,低楼层（5层）,5000 元/月,NJ1665714501317558272,2022-08-07,118.771246,32.051819,整租,/业主自荐/精装/,无,暂无数据,商水,商电,有,暂无数据,2022-08-12 20:21:35,南京
鼓楼-金陵小区-金陵新八村,60.00㎡,南,2室1厅1卫,中楼层（7层）,2100 元/月,NJ1665915899573436416,2022-08-10,118.76949289184,32.11785738261,整租,//近地铁/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:38,南京
鼓楼-草场门大街-郑和国际广场,98.00㎡,南,2室2厅1卫,低楼层（32层）,4800 元/月,NJ1665730334672551936,2022-08-10,118.745072,32.066667,整租,/近地铁/,有,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:43,南京
鼓楼-凤凰西街-苏宁乐瑰园,50.70㎡,南北,2室1厅1卫,中楼层（8层）,3300 元/月,NJ1665990537250865152,2022-08-10,118.75733368846,32.05101640779,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:21:50,南京
鼓楼-热河南路-皇冠钻石双星,98.75㎡,南,2室2厅1卫,中楼层（7层）,5350 元/月,NJ1666000956313042944,2022-08-04,118.74382330424,32.079551075015,整租,/精装/,无,租用车位,民水,民电,有,暂无数据,2022-08-12 20:21:59,南京
鼓楼-定淮门大街-新河一村,51.00㎡,南,2室1厅1卫,高楼层（7层）,2900 元/月,NJ1666022606781808640,2022-08-10,118.74259643505,32.074555231079,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:08,南京
鼓楼-宁海路-扬州路,52.82㎡,西南,2室1厅1卫,低楼层（6层）,3600 元/月,NJ1666043580734504960,2022-08-05,118.774853,32.063341,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:12,南京
鼓楼-福建路-钟阜路小区,57.00㎡,南,2室1厅1卫,低楼层（6层）,2600 元/月,NJ1666064695003447296,2022-08-09,118.774028,32.093517,整租,//,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:15,南京
鼓楼-汉中门大街-汉北街,60.00㎡,南,2室1厅1卫,中楼层（7层）,3800 元/月,NJ1666086688708886528,2022-08-09,118.767251,32.045619,整租,//近地铁/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:22,南京
鼓楼-定淮门大街-新河一村,60.00㎡,南,2室1厅1卫,中楼层（7层）,3800 元/月,NJ1666270732834832384,2022-08-11,118.74259643505,32.074555231079,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:28,南京
鼓楼-龙江-宝地园,58.00㎡,南,2室1厅1卫,中楼层（6层）,4200 元/月,NJ1666272527158083584,2022-08-10,118.750069852,32.066736247897,整租,/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:37,南京
鼓楼-建宁路-滨江花园西园,60.00㎡,南,2室1厅1卫,低楼层（7层）,3500 元/月,NJ1666133997052231680,2022-08-03,118.759142,32.102876,整租,/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:42,南京
鼓楼-湖南路-高云岭,49.94㎡,东西,2室1厅1卫,中楼层（7层）,4200 元/月,NJ1666058843890647040,2022-08-11,118.789601,32.070151,整租,//官方核验/近地铁/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:48,南京
鼓楼-定淮门大街-清江花苑明月园,63.41㎡,南北,2室1厅1卫,高楼层（7层）,3200 元/月,NJ1666072620816138240,2022-08-11,118.750695,32.073154,整租,/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:50,南京
鼓楼-湖南路-高云岭,54.19㎡,东南西,2室1厅1卫,高楼层（6层）,3500 元/月,NJ1666280175693725696,2022-08-11,118.789601,32.070151,整租,/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:54,南京
鼓楼-热河南路-热河南路,57.60㎡,南北,2室1厅1卫,高楼层（7层）,3100 元/月,NJ1668941479118110720,2022-08-11,118.74649,32.083216,整租,/新上/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:22:59,南京
鼓楼-宁海路-南东瓜市,50.00㎡,南,2室1厅1卫,高楼层（5层）,2900 元/月,NJ1668960771259760640,2022-08-11,118.77933802761,32.058321006837,整租,/新上/近地铁/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:23:03,南京
鼓楼-热河南路-中山北路,55.00㎡,南,2室1厅1卫,低楼层（7层）,2400 元/月,NJ1668973879478976512,2022-08-11,118.74993802113,32.091242744308,整租,/新上/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:23:12,南京
鼓楼-宁海路-山阴路,48.00㎡,南北,2室1厅1卫,高楼层（7层）,4200 元/月,NJ1666308941715341312,2022-08-06,118.77401,32.062103,整租,/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:23:19,南京
鼓楼-湖南路-丁家桥1-37号,70.00㎡,南,2室1厅1卫,中楼层（6层）,3200 元/月,NJ2858040092134473728,2022-08-11,118.785624,32.075801,整租,/官方核验/近地铁/精装/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:23:26,南京
鼓楼-宁海路-虎踞关43号,50.00㎡,南,2室1厅1卫,高楼层（4层）,3300 元/月,NJ2860899389394649088,2022-08-09,118.769167,32.057675,整租,/官方核验/精装/随时看房/,无,暂无数据,民水,民电,有,暂无数据,2022-08-12 20:23:32,南京
鼓楼-小市-安怀新村,54.00㎡,南北,2室1厅1卫,低楼层（6层）,2800 元/月,NJ2863147108611915776,2022-08-06,118.801398,32.105181,整租,/近地铁/精装/,无,暂无数据,暂无数据,暂无数据,有,暂无数据,2022-08-12 20:23:39,南京
鼓楼-建宁路-锦绣公馆二期,95.00㎡,南北,2室2厅1卫,中楼层（7层）,6000 元/月,NJ2862234784879345664,2022-08-08,118.749142,32.105821,整租,/精装/随时看房/,无,租用车位,暂无数据,暂无数据,暂无数据,暂无数据,2022-08-12 20:23:47,南京
